6856	2499	624	8939	10145	6953	9528	1671	1417	8497	5841	8632	6405	1065	9805	9580	8378	3216	7138	8605	
8923	3482	3699	3924	6834	7260	5659	5416	3871	189	7306	6229	6627	9780	2139	9058	3382	8245	3347	7843	
1992	2358	586	6565	5472	7076	3500	822	6946	8246	5411	9548	1598	3853	6795	828	3588	4218	908	6018	
6050	1591	2227	2147	454	1684	9119	4594	7249	10299	9998	7811	401	7499	1165	7129	7778	9067	8747	2595	
7817	3012	3321	6220	2658	8356	315	3207	4186	340	10272	9529	7355	6210	5077	4366	9880	6527	3294	1512	
5903	6999	5726	7894	1068	2225	961	3585	4015	8514	1699	8107	5484	2591	4201	1127	1495	5721	3575	6040	
7520	8601	7016	2795	1210	5220	5095	6755	9802	577	4189	1788	2733	1259	3174	6747	5126	5222	10033	10017	
9331	5523	3028	3424	181	9645	9930	6322	10107	6832	416	3973	4821	6266	5982	6487	6509	9725	6635	631	
9592	1540	8150	3439	1783	2481	6074	6825	9729	7527	2272	4586	6697	228	2472	4780	3626	10267	8848	8911	
5905	999	4444	1954	6373	6577	5578	9298	8377	3519	4749	8090	6464	1380	7328	8105	10188	7206	2782	622	
6325	7304	8571	1203	4809	9801	2982	1948	9471	6919	5142	6043	2620	7161	4157	1663	4778	5352	1211	1092	
6201	8063	491	7072	7277	6732	5296	7304	1031	2002	6043	5977	7504	5314	582	8326	6716	9405	165	8600	
6906	3784	8650	4676	4867	5338	9597	4780	2761	8022	8143	4331	7262	4269	3615	9129	257	6583	8277	5548	
2193	1792	8130	7843	3129	7260	2860	7273	4291	5098	3473	9888	4972	8669	8742	4113	1713	3120	4746	6189	
995	9266	4844	1161	8390	3941	2547	2956	9909	8044	7644	1824	2849	7271	6042	3225	5210	3636	4146	7224	
10007	3480	2808	8703	5999	5931	1195	7151	8726	1804	5352	6165	7161	9029	10479	7068	3086	7948	6888	3630	
5464	8290	5185	3707	8691	732	1516	8484	7520	4796	8610	2403	1220	1075	5862	9213	10021	560	7651	2782	
8394	715	9351	3876	6978	6296	7764	5856	7565	6071	5233	10383	8018	7378	2931	1999	3462	5527	7918	8849	
3021	9462	1771	7819	6684	8317	3972	4461	2484	8584	2353	2161	2029	10187	4567	2272	6339	387	5492	1681	
6543	2576	7613	9440	5304	6477	8579	2496	4358	4209	1371	4070	5818	7430	6624	7622	937	5550	7203	3871	
8243	985	7223	966	7189	9593	9757	7470	5445	4334	3972	1881	3233	2091	3401	2122	3200	872	9078	8945	
8927	1120	4538	7816	1931	1893	3042	4201	1347	6372	271	9412	1548	814	8221	9704	10082	4002	3726	2094	
1416	9394	4633	3425	1215	1126	6006	8092	9595	7389	497	7869	4497	5765	4738	2764	4321	5652	3688	1171	
6785	6954	1428	1517	9471	3678	3509	997	7648	9007	4368	849	2258	3702	4628	9736	7153	9488	450	919	
3196	1949	7042	9367	8551	9949	5913	4356	8385	6019	3233	2917	1736	8466	3725	3734	7488	9786	2966	6767	
3816	4404	9952	6802	3195	6296	1239	6212	4942	5699	4002	2537	6233	1127	7096	3652	7722	8133	9670	8097	
